GasDay,KWhFromBiogas,KWhToDenmark,KWhFromNorthSea,KWhToOrFromStorage,KWhToOrFromGermany,KWhToSweden
2020-12-12,15319767,-109499204,2160000,12850432,98213032,-27197514
2020-12-11,15227643,-130789792,2160000,60883091,98671032,-34123487
2020-12-10,14696564,-142930333,2160000,67020683,98671032,-35290077
2020-12-09,14790762,-126425539,2160000,22426413,97942032,-35023365
2020-12-08,15084275,-121417724,2160000,14718730,98942472,-32303381
2020-12-07,14850950,-95648583,2280000,-1343287,96667472,-29034800
2020-12-06,15663824,-95122655,2160000,2626708,99398472,-25410570
2020-12-05,15559595,-98134134,2160000,11568755,99158472,-25299616
2020-12-04,15568603,-121761866,1920000,45282636,100094472,-30795370
2020-12-03,15397305,-140518500,1920000,53859465,100094472,-36215684
2020-12-02,15246130,-136313957,2880000,55465963,101814472,-29076854
2020-12-01,15234168,-134429910,3720000,49053537,99062472,-29987918
2020-11-30,15147547,-137176652,2400000,60447609,99283080,-32535302
2020-11-29,15632756,-126278328,2160000,47702739,95191080,-31008878
2020-11-28,15725371,-114611969,2160000,43734742,95239080,-32277312
2020-11-27,15670981,-111674973,2160000,38368751,100039080,-32762252
2020-11-26,15518940,-102874418,2160000,25384839,97840632,-30109266
2020-11-25,15207978,-90409253,2160000,18900112,74134152,-27838234
2020-11-24,14917621,-90417998,2160000,7777703,89513080,-26597690
2020-11-23,15045580,-88434239,2160000,1967912,86699080,-28553727
2020-11-22,15522774,-75478782,2160000,-2476058,82327080,-25262423
2020-11-21,15593431,-77548089,2160000,555607,82687080,-24030842
2020-11-20,15425070,-110144468,2400000,33030660,88951080,-27132150
2020-11-19,15205802,-95410166,2400000,14680882,81407080,-27936660
2020-11-18,15224688,-75692097,2400000,-11825944,88038080,-26828396
2020-11-17,15050428,-78572809,1800000,12668735,83767080,-27414566
2020-11-16,15143566,-79266872,1200000,10156152,84883080,-26606007
2020-11-15,15618711,-63395740,1200000,-14090243,85351080,-22588511
2020-11-14,15658276,-74423754,1200000,-305846,80664080,-21080302
2020-11-13,15409014,-95732944,1200000,13933862,96781080,-23840278
2020-11-12,15261996,-102202495,1200000,21181258,100999080,-26695164
2020-11-11,14775567,-105839241,1200000,39276278,85955080,-28608934
2020-11-10,14671071,-103888139,1200000,19231209,97457080,-28392067
2020-11-09,14573380,-96449643,1200000,20323502,82077080,-27588415
2020-11-08,14939748,-76599468,1200000,-1813042,87359080,-22784468
2020-11-07,14925450,-68440603,1200000,-14213912,84387080,-22671260
2020-11-06,15257036,-72530631,1200000,18207778,69220249,-24307476
2020-11-05,15033519,-74220618,1200000,4390466,65563080,-26148774
2020-11-04,14066840,-72574847,1200000,3627615,69502920,-25467853
2020-11-03,13999353,-73601263,1200000,-1154200,78471080,-26599513
2020-11-02,14067486,-61962847,1200000,-15005700,83185080,-24464880
2020-11-01,15086165,-54919172,1920000,-25539535,77509928,-20532534
2020-10-31,15287605,-56951147,2100000,-16327726,80788928,-19809257
2020-10-30,14793218,-70040288,2160000,11076340,72628928,-22945260
2020-10-29,14572030,-81170966,2040000,13000708,80840928,-25522181
2020-10-28,14355411,-70764586,2160000,2143735,71672928,-25383195
2020-10-27,13795757,-71835313,2088000,-382901,79040928,-25686288
2020-10-26,13763037,-79115554,2100000,14846214,79631428,-24682754
2020-10-25,14261799,-64102169,2100000,-14806231,77206928,-12004724
2020-10-24,15286823,-54742829,2100000,-17282262,80880300,-22963720
